emoji,emoji_clean,sentiment_label,label_numeric
😂,:face_with_tears_of_joy:,positive,2
❤,:red_heart:,positive,2
♥,:heart_suit:,positive,2
😍,:smiling_face_with_heart-eyes:,positive,2
😭,:loudly_crying_face:,negative,0
😘,:face_blowing_a_kiss:,positive,2
😊,:smiling_face_with_smiling_eyes:,positive,2
👌,:OK_hand:,positive,2
💕,:two_hearts:,positive,2
👏,:clapping_hands:,positive,2
😁,:beaming_face_with_smiling_eyes:,positive,2
☺,:smiling_face:,positive,2
♡,♡,positive,2
👍,:thumbs_up:,positive,2
😩,:weary_face:,negative,0
🙏,:folded_hands:,positive,2
✌,:victory_hand:,positive,2
😏,:smirking_face:,neutral,1
😉,:winking_face:,positive,2
🙌,:raising_hands:,positive,2
🙈,:see-no-evil_monkey:,positive,2
💪,:flexed_biceps:,positive,2
😄,:grinning_face_with_smiling_eyes:,positive,2
😒,:unamused_face:,negative,0
💃,:woman_dancing:,positive,2
💖,:sparkling_heart:,positive,2
😃,:grinning_face_with_big_eyes:,positive,2
😔,:pensive_face:,negative,0
😱,:face_screaming_in_fear:,positive,2
🎉,:party_popper:,positive,2
😜,:winking_face_with_tongue:,positive,2
☯,:yin_yang:,neutral,1
🌸,:cherry_blossom:,positive,2
💜,:purple_heart:,positive,2
💙,:blue_heart:,positive,2
✨,:sparkles:,neutral,1
😳,:flushed_face:,positive,2
💗,:growing_heart:,positive,2
★,★,neutral,1
█,█,neutral,1
☀,:sun:,positive,2
😡,:enraged_face:,negative,0
😎,:smiling_face_with_sunglasses:,positive,2
😢,:crying_face:,positive,2
💋,:kiss_mark:,positive,2
😋,:face_savoring_food:,positive,2
🙊,:speak-no-evil_monkey:,positive,2
😴,:sleeping_face:,negative,0
🎶,:musical_notes:,positive,2
💞,:revolving_hearts:,positive,2
😌,:relieved_face:,positive,2
🔥,:fire:,neutral,1
💯,:hundred_points:,positive,2
🔫,:water_pistol:,negative,0
💛,:yellow_heart:,positive,2
💁,:person_tipping_hand:,positive,2
💚,:green_heart:,positive,2
♫,♫,neutral,1
😞,:disappointed_face:,negative,0
😆,:grinning_squinting_face:,positive,2
😝,:squinting_face_with_tongue:,positive,2
😪,:sleepy_face:,negative,0
�,�,neutral,1
😫,:tired_face:,negative,0
😅,:grinning_face_with_sweat:,positive,2
👊,:oncoming_fist:,positive,2
💀,:skull:,negative,0
😀,:grinning_face:,positive,2
😚,:kissing_face_with_closed_eyes:,positive,2
😻,:smiling_cat_with_heart-eyes:,positive,2
©,:copyright:,neutral,1
👀,:eyes:,neutral,1
💘,:heart_with_arrow:,positive,2
🐓,:rooster:,neutral,1
☕,:hot_beverage:,neutral,1
👋,:waving_hand:,positive,2
✋,:raised_hand:,positive,2
🎊,:confetti_ball:,positive,2
🍕,:pizza:,positive,2
❄,:snowflake:,positive,2
😥,:sad_but_relieved_face:,positive,2
😕,:confused_face:,negative,0
💥,:collision:,neutral,1
💔,:broken_heart:,negative,0
😤,:face_with_steam_from_nose:,negative,0
😈,:smiling_face_with_horns:,positive,2
►,►,neutral,1
✈,:airplane:,neutral,1
🔝,:TOP_arrow:,positive,2
😰,:anxious_face_with_sweat:,negative,0
⚽,:soccer_ball:,positive,2
😑,:expressionless_face:,negative,0
👑,:crown:,positive,2
😹,:cat_with_tears_of_joy:,positive,2
👉,:backhand_index_pointing_right:,neutral,1
🍃,:leaf_fluttering_in_wind:,positive,2
🎁,:wrapped_gift:,positive,2
😠,:angry_face:,negative,0
🐧,:penguin:,positive,2
☆,☆,neutral,1
🍀,:four_leaf_clover:,neutral,1
🎈,:balloon:,positive,2
🎅,:Santa_Claus:,neutral,1
😓,:downcast_face_with_sweat:,negative,0
😣,:persevering_face:,negative,0
😐,:neutral_face:,negative,0
✊,:raised_fist:,positive,2
😨,:fearful_face:,negative,0
😖,:confounded_face:,negative,0
💤,:ZZZ:,positive,2
💓,:beating_heart:,positive,2
👎,:thumbs_down:,negative,0
💦,:sweat_droplets:,positive,2
✔,:check_mark:,neutral,1
😷,:face_with_medical_mask:,negative,0
⚡,:high_voltage:,neutral,1
