original_review,comment_clean,sentiment_label,label_numeric
Love my Echo!,love my echo!,positive,2
Loved it!,loved it!,positive,2
"Sometimes while playing a game, you can answer a question correctly but Alexa says you got it wrong and answers the same as you.  I like being able to turn lights on and off while away from home.","sometimes while playing a game, you can answer a question correctly but alexa says you got it wrong and answers the same as you.  i like being able to turn lights on and off while away from home.",positive,2
"I have had a lot of fun with this thing. My 4 yr old learns about dinosaurs, i control the lights and play games like categories. Has nice sound when playing music as well.","i have had a lot of fun with this thing. my 4 yr old learns about dinosaurs, i control the lights and play games like categories. has nice sound when playing music as well.",positive,2
Music,music,positive,2
"I received the echo as a gift. I needed another Bluetooth or something to play music easily accessible, and found this smart speaker. Can’t wait to see what else it can do.","i received the echo as a gift. i needed another bluetooth or something to play music easily accessible, and found this smart speaker. can’t wait to see what else it can do.",positive,2
"Without having a cellphone, I cannot use many of her features. I have an iPad but do not see that of any use.  It IS a great alarm.  If u r almost deaf, you can hear her alarm in the bedroom from out in the living room, so that is reason enough to keep her.It is fun to ask random questions to hear her response.  She does not seem to be very smartbon politics yet.","without having a cellphone, i cannot use many of her features. i have an ipad but do not see that of any use.  it is a great alarm.  if u r almost deaf, you can hear her alarm in the bedroom from out in the living room, so that is reason enough to keep her.it is fun to ask random questions to hear her response.  she does not seem to be very smartbon politics yet.",neutral,1
I think this is the 5th one I've purchased. I'm working on getting one in every room of my house. I really like what features they offer specifily playing music on all Echos and controlling the lights throughout my house.,i think this is the 5th one i've purchased. i'm working on getting one in every room of my house. i really like what features they offer specifily playing music on all echos and controlling the lights throughout my house.,positive,2
looks great,looks great,positive,2
"Love it! I’ve listened to songs I haven’t heard since childhood! I get the news, weather, information! It’s great!","love it! i’ve listened to songs i haven’t heard since childhood! i get the news, weather, information! it’s great!",positive,2
"I sent it to my 85 year old Dad, and he talks to it constantly.","i sent it to my 85 year old dad, and he talks to it constantly.",positive,2
I love it! Learning knew things with it eveyday! Still figuring out how everything works but so far it's been easy to use and understand. She does make me laugh at times,i love it! learning knew things with it eveyday! still figuring out how everything works but so far it's been easy to use and understand. she does make me laugh at times,positive,2
"I purchased this for my mother who is having knee problems now, to give her something to do while trying to over come not getting around so fast like she did.She enjoys all the little and big things it can do...Alexa play this song, What time is it and where, and how to cook this and that!","i purchased this for my mother who is having knee problems now, to give her something to do while trying to over come not getting around so fast like she did.she enjoys all the little and big things it can do...alexa play this song, what time is it and where, and how to cook this and that!",positive,2
"Love, Love, Love!!","love, love, love!!",positive,2
Just what I expected....,just what i expected....,positive,2
"I love it, wife hates it.","i love it, wife hates it.",positive,2
Really happy with this purchase.  Great speaker and easy to set up.,really happy with this purchase.  great speaker and easy to set up.,positive,2
We have only been using Alexa for a couple of days and are having a lot of fun with our new toy. It like having a new household member! We are trying to learn all the different featues and benefits that come with it.,we have only been using alexa for a couple of days and are having a lot of fun with our new toy. it like having a new household member! we are trying to learn all the different featues and benefits that come with it.,positive,2
We love the size of the 2nd generation echo. Still needs a little improvement on sound,we love the size of the 2nd generation echo. still needs a little improvement on sound,positive,2
"I liked the original Echo. This is the same but shorter and with greater fabric/color choices. I miss the volume ring on top, now it's just the plus/minus buttons. Not a big deal but the ring w as comforting. :) Other than that, well I do like the use of a standard USB charger /port instead of the previous round pin. Other than that, I guess it sounds the same, seems to work the same, still answers to Alexa/Echo/Computer. So what's not to like? :)","i liked the original echo. this is the same but shorter and with greater fabric/color choices. i miss the volume ring on top, now it's just the plus/minus buttons. not a big deal but the ring w as comforting. :) other than that, well i do like the use of a standard usb charger /port instead of the previous round pin. other than that, i guess it sounds the same, seems to work the same, still answers to alexa/echo/computer. so what's not to like? :)",positive,2
Love the Echo and how good the music sounds playing off it. Alexa understands most commands but it is difficult at times for her to find specific playlists or songs on Spotify. She is good with Amazon Music but is lacking in other major programs.,love the echo and how good the music sounds playing off it. alexa understands most commands but it is difficult at times for her to find specific playlists or songs on spotify. she is good with amazon music but is lacking in other major programs.,positive,2
